关键词	国	年	人	topn	编号
研究方向	1	0	0	0	15
合作最多	1	0	0	0	13
技术产出量	1	0	0	0	12
三方	1	0	0	0	11
有效	1	0	0	0	11
态势	1	0	0	0	9
最早	1	0	0	0	8
最新	1	0	0	0	7
最多	1	0	0	0	6
增长最快	1	0	0	0	3
被引	1	0	0	1	14
授权量	1	1	0	0	2
申请量	1	1	0	0	1
申请量	0	1	1	0	35
授权量	0	1	1	0	33
申请量	1	1	1	0	32
申请量	0	1	1	0	31
申请量	1	1	1	0	19
授权量	0	1	1	0	17
申请量	0	1	1	0	16
申请量	1	1	1	0	4
申请量	1	1	0	1	20
研究方向	0	0	1	0	44
合作最多	0	0	1	0	42
三方	0	0	1	0	41
有效	0	0	1	0	40
态势	0	0	1	0	39
最早	0	0	1	0	38
最新	0	0	1	0	37
最多	0	0	1	0	36
增长最快	0	0	1	0	34
研究方向	0	0	1	0	30
合作最多	0	0	1	0	27
三方	0	0	1	0	26
有效	0	0	1	0	25
态势	0	0	1	0	24
最早	0	0	1	0	23
最新	0	0	1	0	22
最多	0	0	1	0	21
增长最快	0	0	1	0	18
被引	0	0	1	1	43
被引	0	0	1	1	29
被引	0	0	0	1	28
最多	0	0	0	1	5
